start_time,end_time,start_time_iso,end_time_iso,project_id,num_model_requests,user_id,api_key_id,model,batch,service_tier,input_tokens,output_tokens,input_cached_tokens,input_uncached_tokens,input_text_tokens,output_text_tokens,input_cached_text_tokens,input_audio_tokens,input_cached_audio_tokens,output_audio_tokens,input_image_tokens,input_cached_image_tokens,output_image_tokens
1770940800,1770940860,2026-02-13T00:00:00+00:00,2026-02-13T00:01:00+00:00,,,,,,,,,,,,,,,,,,,,
1770940860,1770940920,2026-02-13T00:01:00+00:00,2026-02-13T00:02:00+00:00,,,,,,,,,,,,,,,,,,,,
1770940920,1770940980,2026-02-13T00:02:00+00:00,2026-02-13T00:03:00+00:00,,,,,,,,,,,,,,,,,,,,
1770940980,1770941040,2026-02-13T00:03:00+00:00,2026-02-13T00:04:00+00:00,,,,,,,,,,,,,,,,,,,,
1770941040,1770941100,2026-02-13T00:04:00+00:00,2026-02-13T00:05:00+00:00,,,,,,,,,,,,,,,,,,,,
1770941100,1770941160,2026-02-13T00:05:00+00:00,2026-02-13T00:06:00+00:00,,,,,,,,,,,,,,,,,,,,
1770941160,1770941220,2026-02-13T00:06:00+00:00,2026-02-13T00:07:00+00:00,,,,,,,,,,,,,,,,,,,,
1770941220,1770941280,2026-02-13T00:07:00+00:00,2026-02-13T00:08:00+00:00,,,,,,,,,,,,,,,,,,,,
1770941280,1770941340,2026-02-13T00:08:00+00:00,2026-02-13T00:09:00+00:00,,,,,,,,,,,,,,,,,,,,
1770941340,1770941400,2026-02-13T00:09:00+00:00,2026-02-13T00:10:00+00:00,,,,,,,,,,,,,,,,,,,,
1770941400,1770941460,2026-02-13T00:10:00+00:00,2026-02-13T00:11:00+00:00,,,,,,,,,,,,,,,,,,,,
1770941460,1770941520,2026-02-13T00:11:00+00:00,2026-02-13T00:12:00+00:00,,,,,,,,,,,,,,,,,,,,
1770941520,1770941580,2026-02-13T00:12:00+00:00,2026-02-13T00:13:00+00:00,,,,,,,,,,,,,,,,,,,,
1770941580,1770941640,2026-02-13T00:13:00+00:00,2026-02-13T00:14:00+00:00,,,,,,,,,,,,,,,,,,,,
1770941640,1770941700,2026-02-13T00:14:00+00:00,2026-02-13T00:15:00+00:00,,,,,,,,,,,,,,,,,,,,
1770941700,1770941760,2026-02-13T00:15:00+00:00,2026-02-13T00:16:00+00:00,,,,,,,,,,,,,,,,,,,,
1770941760,1770941820,2026-02-13T00:16:00+00:00,2026-02-13T00:17:00+00:00,,,,,,,,,,,,,,,,,,,,
1770941820,1770941880,2026-02-13T00:17:00+00:00,2026-02-13T00:18:00+00:00,,,,,,,,,,,,,,,,,,,,
1770941880,1770941940,2026-02-13T00:18:00+00:00,2026-02-13T00:19:00+00:00,,,,,,,,,,,,,,,,,,,,
1770941940,1770942000,2026-02-13T00:19:00+00:00,2026-02-13T00:20:00+00:00,,,,,,,,,,,,,,,,,,,,
1770942000,1770942060,2026-02-13T00:20:00+00:00,2026-02-13T00:21:00+00:00,,,,,,,,,,,,,,,,,,,,
1770942060,1770942120,2026-02-13T00:21:00+00:00,2026-02-13T00:22:00+00:00,,,,,,,,,,,,,,,,,,,,
1770942120,1770942180,2026-02-13T00:22:00+00:00,2026-02-13T00:23:00+00:00,,,,,,,,,,,,,,,,,,,,
1770942180,1770942240,2026-02-13T00:23:00+00:00,2026-02-13T00:24:00+00:00,,,,,,,,,,,,,,,,,,,,
1770942240,1770942300,2026-02-13T00:24:00+00:00,2026-02-13T00:25:00+00:00,,,,,,,,,,,,,,,,,,,,
1770942300,1770942360,2026-02-13T00:25:00+00:00,2026-02-13T00:26:00+00:00,,,,,,,,,,,,,,,,,,,,
1770942360,1770942420,2026-02-13T00:26:00+00:00,2026-02-13T00:27:00+00:00,,,,,,,,,,,,,,,,,,,,
1770942420,1770942480,2026-02-13T00:27:00+00:00,2026-02-13T00:28:00+00:00,,,,,,,,,,,,,,,,,,,,
1770942480,1770942540,2026-02-13T00:28:00+00:00,2026-02-13T00:29:00+00:00,,,,,,,,,,,,,,,,,,,,
1770942540,1770942600,2026-02-13T00:29:00+00:00,2026-02-13T00:30:00+00:00,,,,,,,,,,,,,,,,,,,,
1770942600,1770942660,2026-02-13T00:30:00+00:00,2026-02-13T00:31:00+00:00,,,,,,,,,,,,,,,,,,,,
1770942660,1770942720,2026-02-13T00:31:00+00:00,2026-02-13T00:32:00+00:00,,,,,,,,,,,,,,,,,,,,
1770942720,1770942780,2026-02-13T00:32:00+00:00,2026-02-13T00:33:00+00:00,,,,,,,,,,,,,,,,,,,,
1770942780,1770942840,2026-02-13T00:33:00+00:00,2026-02-13T00:34:00+00:00,,,,,,,,,,,,,,,,,,,,
1770942840,1770942900,2026-02-13T00:34:00+00:00,2026-02-13T00:35:00+00:00,,,,,,,,,,,,,,,,,,,,
1770942900,1770942960,2026-02-13T00:35:00+00:00,2026-02-13T00:36:00+00:00,,,,,,,,,,,,,,,,,,,,
1770942960,1770943020,2026-02-13T00:36:00+00:00,2026-02-13T00:37:00+00:00,,,,,,,,,,,,,,,,,,,,
1770943020,1770943080,2026-02-13T00:37:00+00:00,2026-02-13T00:38:00+00:00,,,,,,,,,,,,,,,,,,,,
1770943080,1770943140,2026-02-13T00:38:00+00:00,2026-02-13T00:39:00+00:00,,,,,,,,,,,,,,,,,,,,
1770943140,1770943200,2026-02-13T00:39:00+00:00,2026-02-13T00:40:00+00:00,,,,,,,,,,,,,,,,,,,,
1770943200,1770943260,2026-02-13T00:40:00+00:00,2026-02-13T00:41:00+00:00,,,,,,,,,,,,,,,,,,,,
1770943260,1770943320,2026-02-13T00:41:00+00:00,2026-02-13T00:42:00+00:00,,,,,,,,,,,,,,,,,,,,
1770943320,1770943380,2026-02-13T00:42:00+00:00,2026-02-13T00:43:00+00:00,,,,,,,,,,,,,,,,,,,,
1770943380,1770943440,2026-02-13T00:43:00+00:00,2026-02-13T00:44:00+00:00,,,,,,,,,,,,,,,,,,,,
1770943440,1770943500,2026-02-13T00:44:00+00:00,2026-02-13T00:45:00+00:00,,,,,,,,,,,,,,,,,,,,
1770943500,1770943560,2026-02-13T00:45:00+00:00,2026-02-13T00:46:00+00:00,,,,,,,,,,,,,,,,,,,,
1770943560,1770943620,2026-02-13T00:46:00+00:00,2026-02-13T00:47:00+00:00,,,,,,,,,,,,,,,,,,,,
1770943620,1770943680,2026-02-13T00:47:00+00:00,2026-02-13T00:48:00+00:00,,,,,,,,,,,,,,,,,,,,
1770943680,1770943740,2026-02-13T00:48:00+00:00,2026-02-13T00:49:00+00:00,,,,,,,,,,,,,,,,,,,,
1770943740,1770943800,2026-02-13T00:49:00+00:00,2026-02-13T00:50:00+00:00,,,,,,,,,,,,,,,,,,,,
1770943800,1770943860,2026-02-13T00:50:00+00:00,2026-02-13T00:51:00+00:00,,,,,,,,,,,,,,,,,,,,
1770943860,1770943920,2026-02-13T00:51:00+00:00,2026-02-13T00:52:00+00:00,,,,,,,,,,,,,,,,,,,,
1770943920,1770943980,2026-02-13T00:52:00+00:00,2026-02-13T00:53:00+00:00,,,,,,,,,,,,,,,,,,,,
1770943980,1770944040,2026-02-13T00:53:00+00:00,2026-02-13T00:54:00+00:00,,,,,,,,,,,,,,,,,,,,
1770944040,1770944100,2026-02-13T00:54:00+00:00,2026-02-13T00:55:00+00:00,,,,,,,,,,,,,,,,,,,,
1770944100,1770944160,2026-02-13T00:55:00+00:00,2026-02-13T00:56:00+00:00,,,,,,,,,,,,,,,,,,,,
