start_time,end_time,start_time_iso,end_time_iso,project_id,num_model_requests,user_id,api_key_id,model,batch,service_tier,input_tokens,output_tokens,input_cached_tokens,input_uncached_tokens,input_text_tokens,output_text_tokens,input_cached_text_tokens,input_audio_tokens,input_cached_audio_tokens,output_audio_tokens,input_image_tokens,input_cached_image_tokens,output_image_tokens
1770913440,1770913500,2026-02-12T16:24:00+00:00,2026-02-12T16:25:00+00:00,proj_j6HivvBQCHp8TPYU2csX499s,13,user-F77XTHn236P2ThNChL6zDdiW,key_0ssv9apwMhKSUmpS,gpt-5.1-2025-11-13,FALSE,default,128816,2346,19072,109744,109744,2346,19072,0,0,0,0,0,0
1770913500,1770913560,2026-02-12T16:25:00+00:00,2026-02-12T16:26:00+00:00,proj_j6HivvBQCHp8TPYU2csX499s,13,user-F77XTHn236P2ThNChL6zDdiW,key_0ssv9apwMhKSUmpS,gpt-5.1-2025-11-13,FALSE,default,35611,1664,26624,8987,8987,1664,26624,0,0,0,0,0,0
1770913560,1770913620,2026-02-12T16:26:00+00:00,2026-02-12T16:27:00+00:00,proj_j6HivvBQCHp8TPYU2csX499s,9,user-F77XTHn236P2ThNChL6zDdiW,key_0ssv9apwMhKSUmpS,gpt-5.1-2025-11-13,FALSE,default,215507,3439,11776,203731,203731,3439,11776,0,0,0,0,0,0
1770913620,1770913680,2026-02-12T16:27:00+00:00,2026-02-12T16:28:00+00:00,proj_j6HivvBQCHp8TPYU2csX499s,2,user-F77XTHn236P2ThNChL6zDdiW,key_0ssv9apwMhKSUmpS,gpt-5.1-2025-11-13,FALSE,default,197686,2388,97536,100150,100150,2388,97536,0,0,0,0,0,0
1770913680,1770913740,2026-02-12T16:28:00+00:00,2026-02-12T16:29:00+00:00,proj_j6HivvBQCHp8TPYU2csX499s,11,user-F77XTHn236P2ThNChL6zDdiW,key_0ssv9apwMhKSUmpS,gpt-5.1-2025-11-13,FALSE,default,125274,2283,119424,5850,5850,2283,119424,0,0,0,0,0,0
1770913740,1770913800,2026-02-12T16:29:00+00:00,2026-02-12T16:30:00+00:00,proj_j6HivvBQCHp8TPYU2csX499s,9,user-F77XTHn236P2ThNChL6zDdiW,key_0ssv9apwMhKSUmpS,gpt-5.1-2025-11-13,FALSE,default,214566,2616,13184,201382,201382,2616,13184,0,0,0,0,0,0
1770913800,1770913860,2026-02-12T16:30:00+00:00,2026-02-12T16:31:00+00:00,proj_j6HivvBQCHp8TPYU2csX499s,12,user-F77XTHn236P2ThNChL6zDdiW,key_0ssv9apwMhKSUmpS,gpt-5.1-2025-11-13,FALSE,default,120897,1866,14848,106049,106049,1866,14848,0,0,0,0,0,0
1770913860,1770913920,2026-02-12T16:31:00+00:00,2026-02-12T16:32:00+00:00,proj_j6HivvBQCHp8TPYU2csX499s,11,user-F77XTHn236P2ThNChL6zDdiW,key_0ssv9apwMhKSUmpS,gpt-5.1-2025-11-13,FALSE,default,128220,3085,20736,107484,107484,3085,20736,0,0,0,0,0,0
1770913920,1770913980,2026-02-12T16:32:00+00:00,2026-02-12T16:33:00+00:00,,,,,,,,,,,,,,,,,,,,
1770913980,1770914040,2026-02-12T16:33:00+00:00,2026-02-12T16:34:00+00:00,proj_j6HivvBQCHp8TPYU2csX499s,18,user-F77XTHn236P2ThNChL6zDdiW,key_0ssv9apwMhKSUmpS,gpt-5.1-2025-11-13,FALSE,default,39129,2177,26496,12633,12633,2177,26496,0,0,0,0,0,0
