quantity_kind,unit,symbol,quantity_name
http://qudt.org/vocab/quantitykind/APIGravity,DEGREE_API,nan,APIGravity
http://qudt.org/vocab/quantitykind/AbsoluteActivity,BQ-SEC-PER-M3,nan,AbsoluteActivity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,DEGREE_BALLING,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,DEGREE_BAUME,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,DEGREE_BAUME_US_HEAVY,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,DEGREE_BAUME_US_LIGHT,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,DEGREE_BRIX,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,DEGREE_OECHSLE,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,DEGREE_PLATO,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,DEGREE_TWADDELL,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,FemtoGM-PER-L,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,GM-PER-CentiM3,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,GM-PER-DeciL,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,GM-PER-DeciM3,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,GM-PER-L,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,GM-PER-M3,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,GM-PER-MilliL,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,GRAIN-PER-GAL_IMP,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,GRAIN-PER-GAL_US,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,GRAIN-PER-M3,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,KiloGM-PER-CentiM3,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,KiloGM-PER-DeciM3,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,KiloGM-PER-L,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,KiloGM-PER-M3,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,LB-PER-FT3,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,LB-PER-GAL_IMP,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,LB-PER-GAL_UK,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,LB-PER-GAL_US,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,LB-PER-IN3,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,LB-PER-M3,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,LB-PER-YD3,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,MegaGM-PER-M3,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,MicroGM-PER-DeciL,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,MicroGM-PER-L,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,MicroGM-PER-M3,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,MicroGM-PER-MilliL,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,MilliGM-PER-DeciL,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,MilliGM-PER-L,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,MilliGM-PER-M3,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,MilliGM-PER-MilliL,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,NanoGM-PER-DeciL,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,NanoGM-PER-L,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,NanoGM-PER-M3,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,NanoGM-PER-MicroL,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,NanoGM-PER-MilliL,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,OZ-PER-GAL_IMP,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,OZ-PER-GAL_UK,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,OZ-PER-GAL_US,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,OZ-PER-IN3,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,OZ-PER-YD3,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,PicoGM-PER-L,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,PicoGM-PER-MilliL,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,PlanckDensity,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,SLUG-PER-FT3,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,TONNE-PER-M3,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,TON_LONG-PER-YD3,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,TON_Metric-PER-M3,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,TON_SHORT-PER-YD3,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,TON_UK-PER-YD3,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteHumidity,TON_US-PER-YD3,AH,AbsoluteHumidity
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,M,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,ANGSTROM,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,AU,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,BTU_IT-PER-LB_F,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,CH,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,CHAIN_US,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,CentiM,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,DecaM,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,DeciM,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,FATH,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,FM,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,FT,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,FT_US,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,FUR,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,FemtoM,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,GAUGE_FR,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,GA_Charriere,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,HectoM,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,IN,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,KiloM,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,LY,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,MI,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,MI_N,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,MI_UK,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,MI_US,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,MicroIN,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,MicroM,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,MilLength,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,MilliIN,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,MilliM,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,NanoM,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,PARSEC,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,PCA,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,PT,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,PicoM,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,PlanckLength,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,ROD,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,YD,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsoluteTypographicMeasurement,ZOLL,nan,AbsoluteTypographicMeasurement
http://qudt.org/vocab/quantitykind/AbsorbedDose,CentiGRAY,D,AbsorbedDose
http://qudt.org/vocab/quantitykind/AbsorbedDose,GRAY,D,AbsorbedDose
http://qudt.org/vocab/quantitykind/AbsorbedDose,KiloGRAY,D,AbsorbedDose
http://qudt.org/vocab/quantitykind/AbsorbedDose,MegaGRAY,D,AbsorbedDose
http://qudt.org/vocab/quantitykind/AbsorbedDose,MicroGRAY,D,AbsorbedDose
http://qudt.org/vocab/quantitykind/AbsorbedDose,MilliGRAY,D,AbsorbedDose
http://qudt.org/vocab/quantitykind/AbsorbedDose,MilliRAD_R,D,AbsorbedDose
http://qudt.org/vocab/quantitykind/AbsorbedDose,NanoGRAY,D,AbsorbedDose
http://qudt.org/vocab/quantitykind/AbsorbedDose,RAD_R,D,AbsorbedDose
http://qudt.org/vocab/quantitykind/AbsorbedDoseRate,ERG-PER-GM-SEC,nan,AbsorbedDoseRate
http://qudt.org/vocab/quantitykind/AbsorbedDoseRate,GRAY-PER-HR,nan,AbsorbedDoseRate
http://qudt.org/vocab/quantitykind/AbsorbedDoseRate,GRAY-PER-MIN,nan,AbsorbedDoseRate
http://qudt.org/vocab/quantitykind/AbsorbedDoseRate,GRAY-PER-SEC,nan,AbsorbedDoseRate
http://qudt.org/vocab/quantitykind/AbsorbedDoseRate,MicroGRAY-PER-HR,nan,AbsorbedDoseRate
http://qudt.org/vocab/quantitykind/AbsorbedDoseRate,MicroGRAY-PER-MIN,nan,AbsorbedDoseRate
http://qudt.org/vocab/quantitykind/AbsorbedDoseRate,MicroGRAY-PER-SEC,nan,AbsorbedDoseRate
http://qudt.org/vocab/quantitykind/AbsorbedDoseRate,MicroSV-PER-HR,nan,AbsorbedDoseRate
http://qudt.org/vocab/quantitykind/AbsorbedDoseRate,MicroSV-PER-MIN,nan,AbsorbedDoseRate
http://qudt.org/vocab/quantitykind/AbsorbedDoseRate,MicroSV-PER-SEC,nan,AbsorbedDoseRate
http://qudt.org/vocab/quantitykind/AbsorbedDoseRate,MilliGRAY-PER-HR,nan,AbsorbedDoseRate
http://qudt.org/vocab/quantitykind/AbsorbedDoseRate,MilliGRAY-PER-MIN,nan,AbsorbedDoseRate
http://qudt.org/vocab/quantitykind/AbsorbedDoseRate,MilliGRAY-PER-SEC,nan,AbsorbedDoseRate
http://qudt.org/vocab/quantitykind/AbsorbedDoseRate,MilliRAD_R-PER-HR,nan,AbsorbedDoseRate
http://qudt.org/vocab/quantitykind/AbsorbedDoseRate,MilliSV-PER-HR,nan,AbsorbedDoseRate
http://qudt.org/vocab/quantitykind/AbsorbedDoseRate,MilliSV-PER-MIN,nan,AbsorbedDoseRate
